Course No.,Course Title,Credit,Time,Average GPA,Require / Option
ESS100200,工程與系統科學探索,1,W7W8,4.0,1
ESS103001,工程力學,3,M5M6R5,3.88,1
ESS105000,能源與環境概論,2,W3W4,4.04,0
ESS204001,工程數學二,3,W3W4F3F4,3.4,1
ESS225000,電子學二,3,T1T2F1F2,3.37,1
ESS226001,電子學實驗二,2,T9TaTbTc,4.0,1
ESS233000,電磁學一,3,M5M6R1R2,3.66,0
ESS250001,材料科學導論一,3,T5T6R6,3.41,1
ESS241000,工程熱力學,3,M7M8R5R6,3.23,0
ESS242000,材料力學,3,F6F7F8,3.94,0
ESS251000,材料熱力學,3,T5T6F5F6,2.83,0
ESS260000,工程化學概論,3,M5M6R5,3.0,0
ESS302001,近代物理一,3,T3T4R3R4,3.06,1
ESS304000,機率與統計,3,T3T4R3R4,3.81,0
ESS325000,控制系統,3,M3M4W2,3.65,0
ESS327100,量測系統實驗,2,F7F8F9,3.97,0
ESS340000,熱傳學,3,T3T4R3R4,3.71,0
ESS341000,熱流學實驗,2,WaWbWc,4.05,0
ESS352000,物理冶金二,3,W3W4F3F4,2.83,0
ESS370000,氫能科技導論,3,T7T8T9,4.24,0
ESS401200,核能安全,3,T5T6T7,3.93,0
ESS415000,數值分析二,3,M7M8M9,4.2,0
ESS423000,半導體製程,3,F2F3F4,3.85,0
ESS427000,機器學習導論,3,T5T6R5R6,4.01,0
ESS430000,固態物理導論一,3,M3M4W1W2,4.18,0
ESS450000,材料機械性質,3,M5M6R5R6,3.33,0
ESS454000,燃料電池原理與應用,3,R7R8R9,3.12,0
ESS523000,半導體元件物理,3,M3M4W1W2,3.7,0
ESS523300,半導體元件設計與模擬,3,R3R4Rn,4.25,0
ESS524000,離子佈植原理,3,R6R7R8,3.7,0
ESS527100,微波工程,3,F5F6F7,4.09,0
ESS537500,先進製程特論,3,R5R6R7,3.76,0
ESS552000,高等物理冶金,3,T5T6F5F6,3.42,0
ESS568001,輻射度量實驗,3,T8T9TaTb,3.99,0
ESS573000,先進太陽能電池,3,F6F7F8,3.98,0
ESS584000,電子構裝冷卻理論與實驗,3,R6R7R8,4.3,0
ESS584500,奈微米生醫及流體系統,3,R6R7R8,4.15,0
ESS589800,軟物質科學導論,3,F5F6F7,3.7,0
ESS634000,高等電漿工程,3,R9RaRb,4.08,0
