Course No.,Course Title,Domain,Credit,Time,Average GPA
BMES432200,全球暖化與環境衝擊,Science,2,R7R8,3.5
DMS153200,體重管理的科學與實踐,Science,2,W3W4,3.64
GE101200,工業4.0與發展趨勢概論,Science,2,T3T4,3.99
GE102200,現代科技的應用、風險與福祉,Science,2,W5W6,3.44
GE107200,中藥與近代科技,Science,3,R2R3R4,3.78
GE107300,智慧財產權,Society,2,W1W2,3.69
GE111300,百年來的中華民國對外關係,Society,2,W5W6,3.35
GE117300,中亞國際關係,Society,2,F5F6,3.85
GE171400,音樂創作與台灣社會運動,Society,2,M5M6,3.77
GE140400,遊戲與動漫導論,Society,2,T5T6,3.86
GE103600,中國音樂概論,Humanity,2,M3M4,3.51
GE131800,現代詩選讀,Humanity,2,F5F6,3.5
GE134600,電影配樂發展史與風格賞析,Humanity,2,W7W8,3.83
GE145600,台灣歌謠發展史,Humanity,2,R5R6,3.65
GE154600,策展理論與實務,Humanity,2,M3M4,3.43
ECON100201,經濟學原理二,4,3,M7M8M9,3.85
GEC120602,群眾的心理分析,4,3,R5R6R7,3.24
GEC140300,媒體探索與反思,4,3,W7W8W9,3.7
GEC140401,全球政治經濟學,4,3,T7T8T9,3.75
GEC140700,比較政治經濟：國家、社會、經濟和科技,4,3,F6F7F8,3.48
FL350100,魯濱遜漂流記：全球脈絡下的多重文本,3,3,F2F3F4,3.58
GEC130402,藝術與社會,3,3,R7R8R9,3.46
GEC131000,認識藝術：音樂,3,2,T5T6,3.88
GEC160201,文學經典：《詩經》選讀,3,2,R7R8,3.42
GEC161100,文學經典：魏晉風流與文學,3,2,M5M6,3.57
GEC110100,當代科學文明,2,3,T7T8T9,3.73
GEC110500,數理思維,2,2,R5R6,3.73
GEC120100,當代生命科學,2,2,W7W8,3.64
GEC150402,前近代科學史,2,3,F7F8F9,3.71
GEC120302,心理學與現代生活,2,3,R7R8R9,3.5
HIS233300,歷史與世界：近代世界的形成,1,2,T5T6,3.79
GEC161300,思想經典：《六祖壇經》選讀,1,3,M7M8M9,3.32
GEC161200,思想經典：《莊子》選讀,1,2,T1T2,3.63
GEC111700,跨領域思維與實作,1,2,F3F4,3.74
GEC110302,價值與實踐,1,3,R2R3R4,3.61
