Course No.,Course Title,Credit,Time,Average GPA,Require / Option
PME101601,工場實習,1,W6W7W8,3.47,1
PME101701,機械設計製圖,3,F3F4Fn,3.84,0
PME101801,程式設計,3,T6T7T8,3.14,1
PME120100,機器人技術與實作,3,W6W7W8W9,3.5,0
PME134101,應用力學一,2,R5R6,2.74,1
PME200201,工程數學二,3,M3M4W2,2.95,1
PME210401,基礎熱流學二,3,M5R5R6,2.92,1
PME234201,應用力學二,2,T7T8,3.28,1
PME242501,機動學,3,T2T3T4,3.25,0
PME300600,材料科學導論,3,M3M4R4,3.26,1
PME301000,微系統概論一,3,F6F7F8,3.45,0
PME301101,固體力學與奈米材料實驗,1,M5M6M7M8,3.93,1
PME320101,電子學一,3,W3W4F3,2.95,1
PME320301,電子電路實驗一,1,M6M7M8,3.45,1
PME320500,電動機械,3,FaFbFc,3.01,0
PME320800,控制系統二,3,T7T8W6,3.39,1
PME320900,邏輯設計與應用,3,T3T4R3,3.66,0
PME332000,振動學,3,F2F3F4,3.75,0
PME343602,光機電系統設計,3,W3W4Wn,3.44,1
PME400200,專題研究二,2,ALL,3.7,1
PME400300,專題研究一,1,ALL,4.09,1
PME400500,數值分析,3,T2T3T4,2.58,0
PME403100,工程光學,3,M5M6M7,3.67,0
PME420900,微算機導論,3,M2M3M4,3.43,0
PME443200,電腦輔助設計與製造,3,FaFbFc,3.35,1
PME500000,書報討論,1,R7R8,3.85,0
PME500300,科技論文寫作及研究方法,3,F2F3F4,3.5,0
PME500600,奈微系統技術論壇,3,WnW5W6,3.5,0
PME510200,多尺度傳輸,3,F6F7F8,3.7,0
PME510300,進階微流體系統,3,TaTbTc,3.5,0
PME511200,氣體動力學,3,W6W7W8,3.87,0
PME512200,熱對流,3,R4R5R6,3.9,0
PME512300,電子裝備冷卻系統,3,T6T7T8,3.17,0
PME512800,冷凍空調系統模擬與熱交換,3,M2M3M4,3.7,0
PME513200,進階燃燒學,3,TnT5R2,3.5,0
PME514400,兩相流,3,M5M6M7,4.3,0
PME515000,渦輪機,3,T3T4R3,3.0,0
PME519100,偏微分方程,3,W2W3W4,2.8,0
PME520600,聲學陣列信號處理,3,M2M3M4,3.74,0
PME525600,移動機器人與自駕車專題,3,M7M8W7,3.75,0
PME526900,電子電路分析,3,T6T7T8,3.68,0
PME534400,結構動力學,3,R2R3R4,4.3,0
PME534800,複合材料力學,3,M6M7M8,3.83,0
PME535200,振動控制,3,F5F6F7,3.5,0
PME537200,高等動力學,3,F1F2F3,4.0,0
PME543100,電腦輔助製造專題,3,R2R3R4,3.85,0
PME543200,製造技術專題,3,WaWbWc,3.78,0
PME543600,精密機械設計二,3,W6W7W8,3.78,0
PME544200,微奈米製造技術,3,F5F6F7,3.53,0
PME544300,光電子學,3,T2T3T4,3.86,0
PME550200,生醫感測器與生物電子學,3,W2W3W4,3.5,0
PME570100,人工智慧與機械資訊專論,3,W7W8W9,3.5,0
PME600000,論文,2,ALL,4.3,0
PME634300,電子封裝力學概論,3,W6W7W8,3.5,0
PME634800,板殼理論,3,W2W3W4,3.68,0
PME635000,有限單元法之應用,3,TaTbTc,3.71,0
PME635100,非線性有限單元法,3,T2T3T4,3.5,0
PME800000,論文研究,0,ALL,3.5,0
